DATE,SP500
03/11/10,1150.24
03/12/10,1149.99
03/15/10,1150.51
03/16/10,1159.46
03/17/10,1166.21
03/18/10,1165.83
03/19/10,1159.9
03/22/10,1165.81
03/23/10,1174.17
03/24/10,1167.72
03/25/10,1165.73
03/26/10,1166.59
03/29/10,1173.22
03/30/10,1173.27
03/31/10,1169.43
04/01/10,1178.1
04/02/10,0
04/05/10,1187.44
04/06/10,1189.44
04/07/10,1182.45
04/08/10,1186.44
04/09/10,1194.37
04/12/10,1196.48
04/13/10,1197.3
04/14/10,1210.65
04/15/10,1211.67
04/16/10,1192.13
04/19/10,1197.52
04/20/10,1207.17
04/21/10,1205.94
04/22/10,1208.67
04/23/10,1217.28
04/26/10,1212.05
04/27/10,1183.71
04/28/10,1191.36
04/29/10,1206.78
04/30/10,1186.69
05/03/10,1202.26
05/04/10,1173.6
05/05/10,1165.9
05/06/10,1128.15
05/07/10,1110.88
05/10/10,1159.73
05/11/10,1155.79
05/12/10,1171.67
05/13/10,1157.44
05/14/10,1135.68
05/17/10,1136.94
05/18/10,1120.8
05/19/10,1115.05
05/20/10,1071.59
05/21/10,1087.69
05/24/10,1073.65
05/25/10,1074.03
05/26/10,1067.95
05/27/10,1103.06
05/28/10,1089.41
05/31/10,0
06/01/10,1070.71
06/02/10,1098.38
06/03/10,1102.83
06/04/10,1064.88
06/07/10,1050.47
06/08/10,1062
06/09/10,1055.69
06/10/10,1086.84
06/11/10,1091.6
06/14/10,1089.63
06/15/10,1115.23
06/16/10,1114.61
06/17/10,1116.04
06/18/10,1117.51
06/21/10,1113.2
06/22/10,1095.31
06/23/10,1092.04
06/24/10,1073.69
06/25/10,1076.76
06/28/10,1074.57
06/29/10,1041.24
06/30/10,1030.71
07/01/10,1027.37
07/02/10,1022.58
07/05/10,0
07/06/10,1028.06
07/07/10,1060.27
07/08/10,1070.25
07/09/10,1077.96
07/12/10,1078.75
07/13/10,1095.34
07/14/10,1095.17
07/15/10,1096.48
07/16/10,1064.88
07/19/10,1071.25
07/20/10,1083.48
07/21/10,1069.59
07/22/10,1093.67
07/23/10,1102.66
07/26/10,1115.01
